City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
khandbari,37,NP,1635299229,73,27.3747,87.2039,65.61,0.49
sumbe,100,AO,1635299290,82,-11.2061,13.8437,73.8,7.52
mahebourg,66,MU,1635299291,66,-20.4081,57.7,72.25,13.42
dimapur,32,IN,1635299291,81,25.9,93.7333,73.35,2.55
chernyshevsk,3,RU,1635299292,49,52.5243,117.0174,40.78,3.91
saint george,90,BM,1635299009,89,32.3817,-64.6781,80.74,23.02
sisimiut,45,GL,1635299292,59,66.9395,-53.6735,20.12,8.19
hvide sande,100,DK,1635299293,91,56.0045,8.1294,57.49,25.99
candiis,94,PH,1635299294,81,8.9703,125.1842,81.82,2.77
ewa beach,20,US,1635299233,53,21.3156,-158.0072,85.95,5.75
zaragoza,0,ES,1635299012,70,41.6561,-0.8773,49.8,0
ankang,100,CN,1635299295,78,32.68,109.0172,59.29,1.72
southbridge,70,NZ,1635299295,77,-43.8167,172.25,64.85,9.42
miquelon,31,PM,1635299296,70,47.0975,-56.3814,49.5,4.18
savannah bight,12,HN,1635299296,77,16.45,-85.85,82.99,21.9
zyryanovsk,88,KZ,1635299297,54,49.7386,84.2719,39.99,1.63
miraflores,100,CO,1635299297,99,1.3367,-71.9511,71.82,2.59
macau,6,BR,1635299298,70,-5.115,-36.6344,78.48,21.83
coahuayana,100,MX,1635299067,89,18.7333,-103.6833,81.88,0.56
fairbanks,90,US,1635299298,91,64.8378,-147.7164,31.6,3.44
zhangye,0,CN,1635299299,50,38.9342,100.4517,45.09,0.76
maningrida,33,AU,1635299299,52,-12.0667,134.2667,92.14,11.56
saint-georges,11,GF,1635299300,98,3.9,-51.8,73.15,2.8
aguimes,40,ES,1635299300,66,27.9054,-15.4461,66.83,10.36
manaus,0,BR,1635299047,89,-3.1019,-60.025,81.1,4.61
caxito,100,AO,1635299301,77,-8.5785,13.6643,74.17,1.9
richards bay,100,ZA,1635299301,90,-28.783,32.0377,65.95,4.85
okhotsk,100,RU,1635299302,84,59.3833,143.3,26.1,5.53
jaguarari,0,BR,1635299302,66,-10.2639,-40.1958,70.68,10.51
port blair,40,IN,1635299303,84,11.6667,92.75,84.24,2.3
muisne,100,EC,1635299303,88,0.6,-80.0333,75.97,9.01
contamana,99,PE,1635299303,78,-7.3333,-75.0167,71.04,0.67
kazachinskoye,58,RU,1635299304,65,57.6953,93.2761,35.87,16.64
najran,3,SA,1635299304,19,17.4924,44.1277,61.45,0.36
nkhotakota,6,MW,1635299304,70,-12.9274,34.2961,76.96,8.93
ashtian,13,IR,1635299305,54,34.5217,50.0019,39.34,0.98
souillac,58,MU,1635299133,68,-20.5167,57.5167,72.36,12.28
rabat,0,MA,1635299305,96,33.9911,-6.8401,61.16,0
la joya,99,MX,1635299306,91,18.6667,-99.4667,74.39,4.27
